statedisdec,demsharenext,demshareprev,use,demwinprev,difdemshare,difdemshare2,difdemshare3,difdemshare4,demofficeexp,demelectexp,othofficeexp,othelectexp,right,rdifdemshare,rdifdemshare2,rdifdemshare3,rdifdemshare4,difdemsharenext
1016,,.73545104,,1,.16648245,.027716406,.004614295,.00076819916,0,0,0,0,1,.16648245,.027716406,.004614295,.00076819916,
1021,.5164724,,,,-.10583711,.011201493,-.0011855336,.00012547345,0,0,.91666669,1,0,0,0,0,0,
1021,.49177942,.44708145,1,0,.032944798,.0010853597,.000035756959,1.1780057e-06,0,1,1,1,1,.032944798,.0010853597,.000035756959,1.1780057e-06,.04469797
1021,,.5164724,,1,-.016441196,.00027031294,-4.4442681e-06,7.3069081e-08,1,2,0,0,0,0,0,0,0,
1022,.49310997,,,,-.10971013,.012036312,-.0013205053,.0001448728,0,0,3.0833333,3.4166667,0,0,0,0,0,
1022,.40950862,.44514492,1,0,-.013780028,.00018988916,-2.6166779e-06,3.6057894e-08,0,0,2,3,0,0,0,0,0,-.035636306
1022,.53289098,.49310997,1,0,-.18098274,.032754753,-.0059280447,.0010728737,0,0,3,4,0,0,0,0,0,.039781004
1022,.49878392,.40950862,1,0,.065781981,.0043272688,.00028465633,.000018725257,0,0,4,5,1,.065781981,.0043272688,.00028465633,.000018725257,.089275301
1022,,.53289098,,1,-.0024321973,5.9155836e-06,-1.4387867e-08,3.4994133e-11,0,0,4,6,0,0,0,0,0,
1023,.63265812,,,,.016044974,.00025744119,4.1306375e-06,6.6275973e-08,0,1,.45833334,.75,1,.016044974,.00025744119,4.1306375e-06,6.6275973e-08,
1023,.56211752,.50802249,1,1,.26531625,.070392713,.018676329,.0049551339,0,0,0,0,1,.26531625,.070392713,.018676329,.0049551339,.05409503
1023,.54053378,.63265812,1,1,.13008046,.016920926,.002201082,.00028631775,1,2,0,0,1,.13008046,.016920926,.002201082,.00028631775,-.092124343
1023,.46743682,.56211752,1,1,.087058067,.0075791073,.00065982243,.000057442863,1,1,0,0,1,.087058067,.0075791073,.00065982243,.000057442863,-.094680697
1023,,.54053378,,1,-.065126389,.0042414465,-.0002762301,.000017989869,0,0,0,0,0,0,0,0,0,
1024,.59023398,,,,-.31877455,.10161722,-.032392982,.010326059,0,0,.70833331,.75,0,0,0,0,0,
1024,.65068132,.34061274,1,0,.19812366,.039252985,.0077769454,.0015407969,0,0,0,0,1,.19812366,.039252985,.0077769454,.0015407969,.31006858
1024,.69922239,.59023398,1,1,.30983108,.0959953,.029742328,.0092150979,1,1,0,0,1,.30983108,.0959953,.029742328,.0092150979,.1089884
1024,.53374416,.65068132,1,1,.39844477,.15875824,.06325639,.025204178,2,2,0,0,1,.39844477,.15875824,.06325639,.025204178,-.11693716
1024,,.69922239,,1,.067488343,.0045546764,.00030738756,.000020745078,0,0,0,0,1,.067488343,.0045546764,.00030738756,.000020745078,
1025,.54373872,,,,.12271446,.015058839,.0018479372,.00022676862,1,1,1.25,1.4166666,1,.12271446,.015058839,.0018479372,.00022676862,
1025,.67384547,.55768341,1,1,.091963708,.0084573235,.00077776687,.000071526323,2,2,0,0,1,.091963708,.0084573235,.00077776687,.000071526323,.11616206
1025,.63618165,.54373872,1,1,.34769091,.12088897,.042031996,.014614142,3,3,0,0,1,.34769091,.12088897,.042031996,.014614142,.09244293
1025,.59705013,.67384547,1,1,.27236331,.074181773,.020204391,.005502935,4,4,0,0,1,.27236331,.074181773,.020204391,.005502935,-.07679534
1025,,.63618165,,1,.19410026,.037674911,.0073127099,.0014193989,5,5,0,0,1,.19410026,.037674911,.0073127099,.0014193989,
1026,.42557949,,,,.01596573,.00025490453,4.0697369e-06,6.4976319e-08,6,6,2.1111112,2.2777777,1,.01596573,.00025490453,4.0697369e-06,6.4976319e-08,
1026,.51590836,.50798285,1,1,.00011286139,1.2737694e-08,1.4375940e-12,1.6224886e-16,7,7,0,1,1,.00011286139,1.2737694e-08,1.4375940e-12,1.6224886e-16,.0079255104
1026,.61008817,.42557949,1,1,.066486865,.004420503,.00029390541,.000019540848,8,8,0,2,1,.066486865,.004420503,.00029390541,.000019540848,.18450868
1026,,.51590836,,1,.25555602,.065308876,.016690077,.0042652497,9,9,0,0,1,.25555602,.065308876,.016690077,.0042652497,
1031,.4968085,,,,-.17721009,.031403419,-.0055650026,.00098617456,0,0,.91666669,1,0,0,0,0,0,
1031,.51919293,.41139495,1,0,.0067006648,.000044898909,3.0085252e-07,2.0159119e-09,0,0,1,1,1,.0067006648,.000044898909,3.0085252e-07,2.0159119e-09,.10779798
1031,,.4968085,,1,.041162103,.0016943187,.000069741727,2.8707161e-06,0,0,1,2,1,.041162103,.0016943187,.000069741727,2.8707161e-06,
1032,.47336233,,,,-.055173784,.0030441466,-.00016795709,9.2668279e-06,1,1,3.0833333,3.4166667,0,0,0,0,0,
1032,.40000379,.47241309,1,0,-.053275347,.0028382626,-.00015120942,8.0557347e-06,0,0,1,1,0,0,0,0,0,-.072409302
1032,.56222558,.47336233,1,0,-.19999242,.039996967,-.0079990905,.0015997574,0,0,2,2,0,0,0,0,0,.088863254
1032,.54910547,.40000379,1,0,.12445116,.015488091,.001927511,.00023988097,0,1,3,3,1,.12445116,.015488091,.001927511,.00023988097,.14910167
1032,,.56222558,,1,.098210901,.009645381,.00094728154,.000093033377,1,2,3,4,1,.098210901,.009645381,.00094728154,.000093033377,
1033,.63896614,,,,.1204271,.014502686,.0017465166,.00021032793,2,3,.45833334,.75,1,.1204271,.014502686,.0017465166,.00021032793,
1033,.53109241,.56021357,1,1,.27793229,.077246353,.021469256,.0059669996,3,4,0,0,1,.27793229,.077246353,.021469256,.0059669996,-.029121161
1033,.53998482,.63896614,1,1,.11607867,.013474259,.0015640741,.00018155565,4,5,0,0,1,.11607867,.013474259,.0015640741,.00018155565,-.098981321
1033,.54564059,.53109241,1,1,.11542991,.013324063,.0015379954,.00017753067,5,6,0,1,1,.11542991,.013324063,.0015379954,.00017753067,.014548182
1033,,.53998482,,1,.12230062,.014957443,.0018293046,.0002237251,6,7,0,0,1,.12230062,.014957443,.0018293046,.0002237251,
1034,.6513992,,,,.065503478,.0042907055,.00028105616,.000018410155,7,8,.70833331,.75,1,.065503478,.0042907055,.00028105616,.000018410155,
1034,.54631823,.53275174,1,1,.33698779,.11356077,.038268596,.012896049,8,9,0,0,1,.33698779,.11356077,.038268596,.012896049,.013566494
1034,.5813486,.6513992,1,1,.11188874,.01251909,.0014007451,.0001567276,9,10,0,0,1,.11188874,.01251909,.0014007451,.0001567276,-.070050597
1034,.46460351,.54631823,1,1,.18111685,.032803312,.0059412327,.0010760573,10,11,0,1,1,.18111685,.032803312,.0059412327,.0010760573,-.08171472
1034,,.5813486,,1,-.058670729,.0034422544,-.00020195958,.000011849116,0,0,0,0,0,0,0,0,0,
1035,.52576333,,,,.0092973709,.000086441105,8.0367505e-07,7.4720647e-09,0,0,1.25,1.4166666,1,.0092973709,.000086441105,8.0367505e-07,7.4720647e-09,
1035,.69645667,.49952328,1,1,.054073513,.0029239447,.00015810797,8.5494530e-06,1,1,1,2,1,.054073513,.0029239447,.00015810797,8.5494530e-06,.19693339
1035,.66492832,.52576333,1,1,.39291331,.15438087,.060658298,.023833454,2,2,0,0,1,.39291331,.15438087,.060658298,.023833454,.13916498
1035,.5210433,.69645667,1,1,.32985666,.10880542,.035890192,.01183862,3,3,0,0,1,.32985666,.10880542,.035890192,.01183862,-.17541337
1035,,.66492832,,1,.042086631,.0017712845,.000074547395,3.1374489e-06,0,0,0,0,1,.042086631,.0017712845,.000074547395,3.1374489e-06,
1036,.63449001,,,,.31357467,.098329075,.030833507,.0096686073,1,1,2.1111112,2.2777777,1,.31357467,.098329075,.030833507,.0096686073,
1036,.71349216,.65678734,1,1,.26898006,.072350271,.019460781,.0052345619,2,2,0,0,1,.26898006,.072350271,.019460781,.0052345619,.056704819
1036,.71319652,.63449001,1,1,.43275195,.18727425,.081043296,.035071645,3,3,0,0,1,.43275195,.18727425,.081043296,.035071645,.078706503
1036,,.71349216,,1,.43962014,.19326587,.084963568,.037351694,4,4,0,0,1,.43962014,.19326587,.084963568,.037351694,
1041,.43388721,,,,-.21748826,.047301143,-.010287443,.0022373982,0,0,.91666669,1,0,0,0,0,0,
1041,.42054099,.35380331,1,0,-.11762807,.013836362,-.0016275445,.00019144492,0,0,1,1,0,0,0,0,0,.066737682
1041,,.43388721,,0,-.11028755,.012163343,-.0013414653,.00014794692,0,0,0,0,0,0,0,0,0,
1042,.41355726,,,,-.20718631,.042926166,-.0088937143,.0018426558,0,0,3.0833333,3.4166667,0,0,0,0,0,
1042,.31127363,.39345631,1,0,-.14833525,.022003345,-.0032638719,.00048414723,0,0,2,2,0,0,0,0,0,-.082182676
1042,.5090555,.41355726,1,0,-.37233794,.13863555,-.051619273,.019219812,0,0,3,3,0,0,0,0,0,.095498234
1042,.47956795,.31127363,1,0,.01811102,.00032800905,5.9405788e-06,1.0758994e-07,0,0,4,4,1,.01811102,.00032800905,5.9405788e-06,1.0758994e-07,.16829431
1042,,.5090555,,1,-.033361137,.0011129654,-.000037129794,1.2386921e-06,1,1,0,0,0,0,0,0,0,
1043,.51810634,,,,-.040136188,.0016109137,-.000064655935,2.5950426e-06,0,0,.45833334,.75,0,0,0,0,0,
1043,.50957704,.47993192,1,0,.036212653,.0013113562,.000047487687,1.7196552e-06,1,2,2,2,1,.036212653,.0013113562,.000047487687,1.7196552e-06,.029645115
1043,.4732815,.51810634,1,1,.019154072,.00036687846,7.0272167e-06,1.3459982e-07,2,3,2,3,1,.019154072,.00036687846,7.0272167e-06,1.3459982e-07,-.044824839
1043,.42627329,.50957704,1,1,-.04079181,.0016639717,-.000067876419,2.7688020e-06,3,4,0,0,0,0,0,0,0,-.08330375
1043,,.4732815,,0,-.13971865,.019521302,-.0027274899,.00038108122,0,0,0,0,0,0,0,0,0,
1044,.45190406,,,,-.26169229,.068482853,-.017921435,.0046899011,0,0,.70833331,.75,0,0,0,0,0,
1044,.37057862,.36915386,1,0,-.080035865,.0064057396,-.00051268894,.000041033501,0,0,2,2,0,0,0,0,0,.0014247596
1044,.41636324,.45190406,1,0,-.23953667,.057377819,-.013744092,.0032922139,0,0,3,3,0,0,0,0,0,-.035540819
1044,.37422901,.37057862,1,0,-.16727352,.02798043,-.0046803853,.00078290451,0,0,4,4,0,0,0,0,0,.0036503971
1044,,.41636324,,0,-.25154197,.063273363,-.015915906,.0040035187,0,0,5,5,0,0,0,0,0,
1045,.2960605,,,,-.13592768,.018476333,-.002511445,.00034137489,0,1,1.25,1.4166666,0,0,0,0,0,
1045,.46459007,.42863947,1,0,-.40787899,.16636528,-.0678569,.027677404,0,0,7,7,0,0,0,0,0,.035950601
1045,.2706714,.2960605,1,0,-.070819855,.0050154519,-.00035519357,.000025154757,0,0,8,8,0,0,0,0,0,-.025389105
1045,.23437704,.46459007,1,0,-.44710717,.19990481,-.089378878,.039961938,0,0,0,0,0,0,0,0,0,-.23021303
1045,,.2706714,,0,-.53124595,.28222227,-.14992943,.079649404,0,0,1,1,0,0,0,0,0,
1046,.23773646,,,,-.4059543,.1647989,-.06690082,.027158676,0,0,2.1111112,2.2777777,0,0,0,0,0,
1046,.37628898,.26714206,1,0,-.50641227,.25645339,-.12987114,.065768339,0,0,3,3,0,0,0,0,0,.10914692
1046,.29873765,.23773646,1,0,-.22828087,.052112158,-.011896209,.0027156768,0,0,4,4,0,0,0,0,0,.061001182
1046,,.37628898,,0,-.39196378,.15363561,-.060219593,.023603899,0,1,5,5,0,0,0,0,0,
1051,.47402614,,,,-.12305376,.015142228,-.001863308,.00022928706,0,0,.91666669,1,0,0,0,0,0,
1051,.45655078,.40780452,1,0,-.036621153,.0013411089,-.000049112954,1.7985730e-06,0,0,1,1,0,0,0,0,0,.048746258
1051,,.47402614,,0,-.073713243,.0054336423,-.0004005314,.000029524468,0,0,2,2,0,0,0,0,0,
1052,.47249621,,,,-.13409257,.017980818,-.002411094,.0003233098,0,0,3.0833333,3.4166667,0,0,0,0,0,
1052,.38074493,.43295372,1,0,-.055007577,.0030258335,-.00016644377,9.1556685e-06,0,0,4,4,0,0,0,0,0,-.052208781
1052,.53797877,.47249621,1,0,-.23851013,.056887083,-.013568145,.0032361401,0,0,5,5,0,0,0,0,0,.065482557
1052,.55099392,.38074493,1,0,.075957537,.0057695475,.00043824062,.000033287677,0,0,6,6,1,.075957537,.0057695475,.00043824062,.000033287677,.17024899
1052,,.53797877,,1,.10198784,.010401519,.0010608285,.00010819161,1,1,6,7,1,.10198784,.010401519,.0010608285,.00010819161,
1053,.67302233,,,,.17029631,.029000834,.0049387352,.00084104837,2,2,.45833334,.75,1,.17029631,.029000834,.0049387352,.00084104837,
1053,.59062815,.58514816,1,1,.34604469,.11974692,.04143779,.014339327,3,3,0,0,1,.34604469,.11974692,.04143779,.014339327,.0054799914
1053,.56315076,.67302233,1,1,.18125629,.032853846,.0059549659,.001079375,4,4,0,0,1,.18125629,.032853846,.0059549659,.001079375,-.10987157
1053,.54745096,.59062815,1,1,.12630153,.015952075,.0020147716,.00025446873,5,5,0,0,1,.12630153,.015952075,.0020147716,.00025446873,-.043177187
1053,,.56315076,,1,.10465416,.010952494,.0011462241,.00011995712,6,6,6,8,1,.10465416,.010952494,.0011462241,.00011995712,
1054,.4796738,,,,-.02366361,.00055996643,-.000013250828,3.1356242e-07,7,7,.70833331,.75,0,0,0,0,0,
1054,.32749301,.48816821,1,0,-.024358571,.00059333997,-.000014452913,3.5205230e-07,0,0,1,1,0,0,0,0,0,-.1606752
1054,.52319092,.4796738,1,0,-.33763027,.1139942,-.038487893,.012994678,0,0,2,2,0,0,0,0,0,.043517113
1054,.50365347,.32749301,1,0,.046381831,.0021512744,.000099780038,4.6279811e-06,0,1,0,0,1,.046381831,.0021512744,.000099780038,4.6279811e-06,.17616045
1054,,.52319092,,1,.0073069334,.000053391275,3.9012650e-07,2.8506284e-09,1,2,0,0,1,.0073069334,.000053391275,3.9012650e-07,2.8506284e-09,
1055,.45469278,,,,.17623278,.031057995,.0054734368,.00096459902,2,3,1.25,1.4166666,1,.17623278,.031057995,.0054734368,.00096459902,
1055,.39109451,.584647,1,1,-.088403821,.0078152353,-.0006908967,.00006107791,3,4,0,0,0,0,0,0,0,-.19355249
1055,.2636131,.45469278,1,0,-.21781099,.047441628,-.010333308,.0022507079,0,0,1,1,0,0,0,0,0,-.19107968
1055,.47247568,.39109451,1,0,-.47277379,.22351506,-.10567206,.049958982,0,0,2,2,0,0,0,0,0,.081381172
1055,,.2636131,,0,-.044652373,.0019938343,-.000089029432,3.9753754e-06,4,4,0,0,0,0,0,0,0,
1056,.45530096,,,,-.12526897,.015692314,-.00196576,.0002462487,0,0,2.1111112,2.2777777,0,0,0,0,0,
1056,.52049458,.31126213,1,0,-.06672886,.0044527408,-.0002971263,.000019826901,0,0,2,2,0,0,0,0,0,.20923245
1056,.49882603,.45530096,1,0,.06132105,.0037602712,.00023058377,.000014139639,0,1,3,3,1,.06132105,.0037602712,.00023058377,.000014139639,.04352507
1056,,.52049458,,1,.014908671,.00022226849,3.3137278e-06,4.9403280e-08,1,2,0,0,1,.014908671,.00022226849,3.3137278e-06,4.9403280e-08,
1063,.58746815,,,,.079399072,.0063042124,.00050054863,.000039743096,1,1.3333334,.45833334,.75,1,.079399072,.0063042124,.00050054863,.000039743096,
1063,.47679743,.5392071,1,.83333331,.17493629,.030602707,.0053535243,.0009365257,1,1,0,0,1,.17493629,.030602707,.0053535243,.0009365257,-.062409669
1063,.37712282,.58746815,1,1,-.012190819,.00014861606,-1.8117515e-06,2.2086734e-08,2,2,0,1,0,0,0,0,0,-.21034533
1063,.51069915,.47679743,1,0,-.24575436,.060395207,-.014842385,.003647581,0,0,1,2,0,0,0,0,0,.033901721
1063,,.37712282,,0,.021398306,.00045788751,9.7980164e-06,2.0966095e-07,0,0,0,0,1,.021398306,.00045788751,9.7980164e-06,2.0966095e-07,
1064,.63438386,,,,.20382884,.041546196,.0084683131,.0017260865,1,1,.70833331,.75,1,.20382884,.041546196,.0084683131,.0017260865,
1064,.56619465,.60191441,1,1,.27301988,.074539855,.020350862,.0055561899,0,0,0,0,1,.27301988,.074539855,.020350862,.0055561899,-.035719752
1064,.64197826,.63438386,1,1,.13660282,.018660329,.0025490536,.00034820792,1,1,0,0,1,.13660282,.018660329,.0025490536,.00034820792,.0075944066
1064,.58958066,.56619465,1,1,.28395656,.080631323,.022895794,.0065014106,2,2,0,0,1,.28395656,.080631323,.022895794,.0065014106,.023386002
1064,,.64197826,,1,.18327269,.033588879,.0061559239,.0011282128,3,3,0,0,1,.18327269,.033588879,.0061559239,.0011282128,
1065,.36016896,,,,-.038995296,.0015206331,-.000059297538,2.3123250e-06,0,0,1.25,1.4166666,0,0,0,0,0,
1065,.35824534,.47767553,1,0,-.2796621,.07821089,-.021872623,.0061169434,0,0,1,1,0,0,0,0,0,-.11943018
1065,.33270577,.36016896,1,0,-.28350928,.080377512,-.022787772,.0064605447,0,0,2,2,0,0,0,0,0,-.027463198
1065,.25629699,.35824534,1,0,-.33013913,.10899185,-.035982475,.011879222,0,0,3,3,0,0,0,0,0,-.10194835
1065,,.33270577,,0,-.48740602,.23756462,-.11579043,.056436952,0,0,4,4,0,0,0,0,0,
1066,.31497481,,,,-.44488871,.19792597,-.08805503,.039174687,0,0,2.1111112,2.2777777,0,0,0,0,0,
1066,.48926482,.25197726,1,0,-.32379082,.10484049,-.033946391,.01099153,0,0,6,6,0,0,0,0,0,.23728755
1066,.39592975,.31497481,1,0,-.0069679916,.000048552905,-3.3831626e-07,2.3573847e-09,0,1,7,7,0,0,0,0,0,.080954939
1066,,.48926482,,0,-.1855408,.034425385,-.0063873138,.0011851073,0,2,8,8,0,0,0,0,0,
1981,.48825553,,,,-.14725658,.021684501,-.0031931857,.00047021758,0,0,.91666669,1,0,0,0,0,0,
1981,.48553145,.40877596,1,0,-.004506737,.000020310677,-9.1534886e-08,4.1252365e-10,0,0,1,1,0,0,0,0,0,.076755494
1981,,.48825553,,0,-.0084552765,.000071491697,-6.0448207e-07,5.1110631e-09,0,0,2,2,0,0,0,0,0,
1982,.48995242,,,,-.10200942,.01040592,-.0010615019,.00010828319,0,0,3.0833333,3.4166667,0,0,0,0,0,
1982,.38549641,.4475944,1,0,-.020095199,.00040381704,-8.1147837e-06,1.6306819e-07,0,1,4,4,0,0,0,0,0,-.062097996
1982,.56037766,.48995242,1,0,-.22900721,.052444305,-.012010124,.0027504051,0,0,5,5,0,0,0,0,0,.070425242
1982,.53975314,.38549641,1,0,.12075531,.014581846,.0017608354,.00021263023,0,0,6,6,1,.12075531,.014581846,.0017608354,.00021263023,.15425673
1982,,.56037766,,1,.079506248,.0063212435,.00050257833,.000039958119,1,1,6,7,1,.079506248,.0063212435,.00050257833,.000039958119,
1983,.62498337,,,,.054169774,.0029343644,.00015895386,8.6104947e-06,0,0,.45833334,.75,1,.054169774,.0029343644,.00015895386,8.6104947e-06,
1983,.54174984,.52708489,1,1,.24996674,.06248337,.015618765,.0039041718,1.8333334,2.1666667,.33333334,.5,1,.24996674,.06248337,.015618765,.0039041718,.014664948
1983,.51973766,.62498337,1,1,.10040932,.010082032,.0010123299,.00010164737,2.8333333,3.3333333,.33333334,.66666669,1,.10040932,.010082032,.0010123299,.00010164737,-.10524571
1983,.49746564,.54174984,1,.83333331,.048967648,.0023978306,.00011741612,5.7495913e-06,3.1666667,3.5,.16666667,.5,1,.048967648,.0023978306,.00011741612,5.7495913e-06,-.044284195
1983,,.51973766,,.66666669,.0083219707,.000069255198,5.7633969e-07,4.7962820e-09,2,2.1666667,1,1.3333334,1,.0083219707,.000069255198,5.7633969e-07,4.7962820e-09,
2013,.49946746,,,,.14247553,.020299276,.0028921503,.00041206065,1.125,1.125,0,0,1,.14247553,.020299276,.0028921503,.00041206065,
2013,.50377983,.5684889,1,.875,-.0010651052,1.1344491e-06,-1.2083077e-09,1.2869748e-12,0,0,0,0,0,0,0,0,0,-.064709067
2013,.56623095,.49946746,1,0,.051541686,.0026565455,.00013692283,7.0572337e-06,0,0,0,0,1,.051541686,.0026565455,.00013692283,7.0572337e-06,.06676349
2013,.59161842,.50377983,1,1,.13246194,.017546164,.0023241988,.00030786789,1,1,0,0,1,.13246194,.017546164,.0023241988,.00030786789,.08783859
2013,,.56623095,,1,.18323681,.033575729,.006152309,.0011273295,2,2,0,0,1,.18323681,.033575729,.006152309,.0011273295,
2014,.49819154,,,,.18725112,.035062984,.0065655829,.0012294127,3,3,1.25,1.25,1,.18725112,.035062984,.0065655829,.0012294127,
2014,.42623448,.59362555,1,1,-.0036169291,.000013082175,-4.7317300e-08,1.7114332e-10,4,4,0,0,0,0,0,0,0,-.16739106
2014,.35803241,.49819154,1,0,-.14753103,.021765405,-.0032110726,.00047373289,0,0,1,1,0,0,0,0,0,-.14015913
2014,.3151485,.42623448,1,0,-.25672698,.065908745,-.016920552,.0043439623,0,0,2,2,0,0,0,0,0,-.11108598
2014,,.35803241,,0,-.36970302,.13668032,-.05053113,.018681511,0,0,3,3,0,0,0,0,0,
2015,.3647939,,,,-.024060786,.0005789214,-.000013929304,3.3514999e-07,0,0,2.875,2.875,0,0,0,0,0,
2015,.53158361,.47945797,1,0,-.27041221,.073122762,-.019773288,.005346938,0,0,1,1,0,0,0,0,0,.052125633
2015,.63217527,.3647939,1,0,.094181508,.0088701565,.00083540473,.000078679674,0,0,0,0,1,.094181508,.0088701565,.00083540473,.000078679674,.26738137
2015,.60196656,.53158361,1,1,.26435053,.069881208,.018473133,.0048833829,1,1,0,0,1,.26435053,.069881208,.018473133,.0048833829,.070382953
2015,,.63217527,,1,.20393309,.041588705,.0084813135,.0017296204,0,0,4,4,1,.20393309,.041588705,.0084813135,.0017296204,
2016,.48107457,,,,.30022463,.090134829,.027060697,.0081242872,1,1,.16666667,.16666667,1,.30022463,.090134829,.027060697,.0081242872,
2016,.55315363,.65011233,1,1,-.037850857,.0014326874,-.000054228443,2.0525931e-06,0,0,0,0,0,0,0,0,0,-.096958697
2016,.60327291,.48107457,1,0,.10630727,.011301235,.0012014034,.00012771793,0,0,1,1,1,.10630727,.011301235,.0012014034,.00012771793,.12219834
2016,,.55315363,,1,.24778044,.061395146,.015212517,.0037693642,1,1,0,0,1,.24778044,.061395146,.015212517,.0037693642,
2023,.62004149,,,,.14247553,.020299276,.0028921503,.00041206065,1.125,1.125,0,0,1,.14247553,.020299276,.0028921503,.00041206065,
2023,.56762111,.5684889,1,.875,.24008295,.057639822,.013838339,.0033223492,0,0,0,0,1,.24008295,.057639822,.013838339,.0033223492,-.00086778402
2023,.55705869,.62004149,1,1,.13524222,.018290458,.0024736424,.00033454091,1,1,0,0,1,.13524222,.018290458,.0024736424,.00033454091,-.062982798
2023,.64209318,.56762111,1,1,.11411735,.01302277,.0014861241,.00016959255,2,2,0,0,1,.11411735,.01302277,.0014861241,.00016959255,.07447207
2023,,.55705869,,1,.28418636,.080761887,.022951428,.0065224827,3,3,0,0,1,.28418636,.080761887,.022951428,.0065224827,
2024,.2863071,,,,-.087736368,.0076976703,-.00067536562,.000059254129,0,0,1.25,1.25,0,0,0,0,0,
2024,.19654106,.45613182,1,0,-.42738581,.18265863,-.078065708,.033364173,0,0,1,1,0,0,0,0,0,-.25959074
2024,.40853113,.2863071,1,0,-.57455575,.33011431,-.18966907,.10897546,0,0,2,2,0,0,0,0,0,.12222403
2024,.21490784,.19654106,1,0,-.099678099,.0099357236,-.00099037401,.000098718599,0,1,0,0,0,0,0,0,0,.018366784
2024,,.40853113,,0,-.57018435,.3251102,-.18537274,.10569664,0,0,1,1,0,0,0,0,0,
2025,.22599357,,,,-.3330166,.11090006,-.036931559,.012298823,0,0,2.875,2.875,0,0,0,0,0,
